38 Provinsi;Persentase Rumah Tangga yang Memiliki Akses terhadap Sanitasi Layak Menurut Provinsi dan Klasifikasi Desa (Persen);Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen);Tingkat Partisipasi Angkatan Kerja (TPAK);Tingkat Pengangguran Terbuka (TPT);Angka Harapan Hidup (AHH) Menurut Provinsi;Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi (Persen);Rata-Rata Lama Sekolah Penduduk Umur 15 Tahun ke Atas Menurut Provinsi;Indeks Pembangunan Manusia menurut Provinsi;Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Berlaku (miliar rupiah) (Rp)
ACEH;"78,85";"14,45";"64,77";"6,03";"68,42";"89,74";"9,89";"73,4";"227110,2"
SUMATERA UTARA;"84,18";"8,15";"71,06";"5,89";"68,06";"92,19";"10,07";"73,37";"1050995,41"
SUMATERA BARAT;"70,97";"5,95";"69,61";"5,94";"68,27";"85,59";"9,59";"73,75";"312770,28"
RIAU;"84,58";"6,68";"64,45";"4,23";"70,28";"90,47";"9,6";"74,04";"1026472,05"
JAMBI;"83,04";"7,58";"68,75";"4,53";"69,83";"80,02";"9,16";"72,77";"293729,31"
SUMATERA SELATAN;"80,54";"11,78";"70,72";"4,11";"68,74";"87,19";"8,9";"71,62";"629099,66"
BENGKULU;"80,28";"14,04";"70,91";"3,42";"67,99";"73,08";"9,35";"72,78";"96551,38"
LAMPUNG;"84,58";"11,11";"70,04";"4,23";"69,31";"82,78";"8,72";"71,15";"448880,25"
KEP. BANGKA BELITUNG;"93,21";"4,52";"68,34";"4,56";"69,3";"81,64";"8,66";"72,85";"102635,65"
KEP. RIAU;"91,1";"5,69";"68,68";"6,8";"68,99";"92,1";"10,52";"77,11";"331889,5"
DKI JAKARTA;"93,5";"4,44";"65,21";"6,53";"71,88";"99,42";"11,42";"82,46";"3442980,93"
JAWA BARAT;"74,88";"7,62";"66,49";"7,44";"72,01";"93,86";"9,16";"73,74";"2625218,58"
JAWA TENGAH;"85,2";"10,77";"71,72";"5,13";"72,95";"93,76";"8,44";"73,39";"1696795,42"
DI YOGYAKARTA;"96,42";"11,04";"74,08";"3,69";"73,4";"96,69";"10,16";"81,07";"180689,95"
JAWA TIMUR;"83,72";"10,35";"72,56";"4,88";"70,16";"96,01";"8,53";"73,38";"2953546,91"
BANTEN;"86,41";"6,17";"64,44";"7,52";"68,85";"92,95";"9,48";"73,87";"814124,34"
BALI;"95,7";"4,25";"77,08";"2,69";"70,99";"98,31";"9,74";"77,1";"274355,72"
NUSA TENGGARA BARAT;"85,11";"13,85";"73,31";"2,8";"65,54";"96,03";"8,39";"70,2";"166394,91"
NUSA TENGGARA TIMUR;"75,67";"19,96";"75,72";"3,14";"65,82";"88,35";"8,31";"66,68";"128523,13"
KALIMANTAN BARAT;"79,89";"6,71";"69,42";"5,05";"69,38";"82,08";"8,17";"69,41";"274468,58"
KALIMANTAN TENGAH;"76,31";"5,11";"67,18";"4,1";"68,36";"77,72";"9,07";"72,2";"208846,41"
KALIMANTAN SELATAN;"82,89";"4,29";"69,76";"4,31";"67,49";"76,29";"8,95";"72,5";"269296,45"
KALIMANTAN TIMUR;"91,21";"6,11";"65,57";"5,31";"72,96";"87,9";"10,17";"78,2";"843571,25"
KALIMANTAN UTARA;"84,22";"6,45";"70,35";"4,01";"70,72";"90,19";"9,53";"72,49";"147278,62"
SULAWESI UTARA;"85,91";"7,38";"64,09";"6,1";"70,44";"94,37";"9,94";"74,36";"171969,42"
SULAWESI TENGAH;"75,8";"12,41";"69,85";"2,95";"67,24";"86,85";"9,22";"70,95";"347139,17"
SULAWESI SELATAN;"93,69";"8,7";"65,66";"4,33";"69,28";"92,12";"9,12";"73,46";"652574,05"
SULAWESI TENGGARA;"88,99";"11,43";"70,07";"3,15";"69,54";"94,8";"9,62";"72,79";"176179,9"
GORONTALO;"81,72";"15,15";"70,79";"3,06";"66,9";96;"8,48";"70,45";"51374,4"
SULAWESI BARAT;"80,73";"11,49";"71,05";"2,27";"64,11";"79,86";"8,48";"67,55";"58551,82"
MALUKU;"78,17";"16,42";"63,6";"6,31";"64,87";"92,98";"10,38";"70,94";"58489,79"
MALUKU UTARA;"80,64";"6,46";"67,77";"4,31";"67,17";"89,01";"9,61";"70,21";"85145,36"
PAPUA BARAT;"76,3";"20,49";"67,24";"5,38";"64,88";"81,57";"10,14";"66,66";"61571,37"
PAPUA;43;"26,03";"77,2";"2,67";"64,53";"66,49";"7,34";"62,25";"81737,92"
